asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
living-world-ruin-source,art/living-world/living-world-ruin-source.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
living-world-spring-source,art/living-world/living-world-spring-source.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
living_world,art/living-world/Living_World.blend,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
sm_lw_crackedurn,art/living-world/SM_LW_CrackedUrn.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_dragonfly,art/living-world/SM_LW_Dragonfly.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_fallenlintel,art/living-world/SM_LW_FallenLintel.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_fernrosette,art/living-world/SM_LW_FernRosette.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_funguslog,art/living-world/SM_LW_FungusLog.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_gardenmoth,art/living-world/SM_LW_GardenMoth.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_meadowflowers,art/living-world/SM_LW_MeadowFlowers.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_reeds,art/living-world/SM_LW_Reeds.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_rootfan,art/living-world/SM_LW_RootFan.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_shelffungi,art/living-world/SM_LW_ShelfFungi.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_twistedscrub,art/living-world/SM_LW_TwistedScrub.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
sm_lw_waterlily,art/living-world/SM_LW_WaterLily.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original parametric Blender modeling; sculpted curved mesh detail; original analytic textures; vertex masks; UVs; FBX export,original
t_lw_bark,art/living-world/T_LW_Bark.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_barknormal,art/living-world/T_LW_BarkNormal.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_ceramic,art/living-world/T_LW_Ceramic.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_ceramicnormal,art/living-world/T_LW_CeramicNormal.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_endgrain,art/living-world/T_LW_EndGrain.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_endgrainnormal,art/living-world/T_LW_EndGrainNormal.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_leaf,art/living-world/T_LW_Leaf.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_leafnormal,art/living-world/T_LW_LeafNormal.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_stone,art/living-world/T_LW_Stone.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
t_lw_stonenormal,art/living-world/T_LW_StoneNormal.png,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_living_world.py,Original procedural source/texture or labelled source-art preview,original
