asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
sm_weaponbody,art/generated/SM_WeaponBody.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_shieldplate,art/generated/SM_ShieldPlate.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_core,art/generated/SM_Core.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_forearm,art/generated/SM_Forearm.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_guardianbody,art/generated/SM_GuardianBody.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_guardianhead,art/generated/SM_GuardianHead.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_guardianarm,art/generated/SM_GuardianArm.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_guardianleg,art/generated/SM_GuardianLeg.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_stonetile,art/generated/SM_StoneTile.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_wall,art/generated/SM_Wall.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_pillar,art/generated/SM_Pillar.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_arch,art/generated/SM_Arch.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_bell,art/generated/SM_Bell.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_root,art/generated/SM_Root.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_crate,art/generated/SM_Crate.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_crystal,art/generated/SM_Crystal.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_techpanel,art/generated/SM_TechPanel.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_grass,art/generated/SM_Grass.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_telegraphring,art/generated/SM_TelegraphRing.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
sm_telegraphdisk,art/generated/SM_TelegraphDisk.fbx,,Game Studio with OpenAI Codex,Original project-authored asset; no third-party inputs,scripts/create_art.py,Procedural Blender modeling; real bevels; original vertex tint; UVs; material slots; FBX export,original
t_paintedsurface,art/generated/T_PaintedSurface.png,,Game Studio with OpenAI Codex,Original project-authored texture; no third-party inputs,scripts/create_art.py,Original seeded isotropic spectral pigment and pore fields; periodic gradients; 512px PNG; replaces directional weave,original
t_sculptednormal,art/generated/T_SculptedNormal.png,,Game Studio with OpenAI Codex,Original project-authored texture; no third-party inputs,scripts/create_art.py,Original seeded isotropic spectral pigment and pore fields; periodic gradients; 512px PNG; replaces directional weave,original
dreambound_painterly_materials,scripts/import_art.py,,Game Studio with OpenAI Codex,Original project-authored shader recipes; no third-party inputs,art/generated/materials.json,Cool slate and verdigris against ivory and copper; vertex tint; pigment color variation; restrained material-specific normals; roughness and patina; emission; instancing usage,original
