asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
organic_fire_source_fire_staff_01,assets/audio-organic-fire/sources/fire-staff-01.flac,https://opengameart.org/content/fire-staff-sound-effects,LEGIT Audio,CC0 1.0,assets/audio-organic-fire/sources.json,"Exact named WAV region decoded, downmixed to mono, resampled 96 kHz to 48 kHz and retained as PCM24 lossless FLAC. No EQ, envelope or gain changes in retained source.",verified_cc0
organic_fire_source_fire_staff_03,assets/audio-organic-fire/sources/fire-staff-03.flac,https://opengameart.org/content/fire-staff-sound-effects,LEGIT Audio,CC0 1.0,assets/audio-organic-fire/sources.json,"Exact named WAV region decoded, downmixed to mono, resampled 96 kHz to 48 kHz and retained as PCM24 lossless FLAC. No EQ, envelope or gain changes in retained source.",verified_cc0
organic_fire_source_fire_staff_17,assets/audio-organic-fire/sources/fire-staff-17.flac,https://opengameart.org/content/fire-staff-sound-effects,LEGIT Audio,CC0 1.0,assets/audio-organic-fire/sources.json,"Exact named WAV region decoded, downmixed to mono, resampled 96 kHz to 48 kHz and retained as PCM24 lossless FLAC. No EQ, envelope or gain changes in retained source.",verified_cc0
organic_fire_source_fire_staff_19,assets/audio-organic-fire/sources/fire-staff-19.flac,https://opengameart.org/content/fire-staff-sound-effects,LEGIT Audio,CC0 1.0,assets/audio-organic-fire/sources.json,"Exact named WAV region decoded, downmixed to mono, resampled 96 kHz to 48 kHz and retained as PCM24 lossless FLAC. No EQ, envelope or gain changes in retained source.",verified_cc0
organic_fire_source_fire_staff_24,assets/audio-organic-fire/sources/fire-staff-24.flac,https://opengameart.org/content/fire-staff-sound-effects,LEGIT Audio,CC0 1.0,assets/audio-organic-fire/sources.json,"Exact named WAV region decoded, downmixed to mono, resampled 96 kHz to 48 kHz and retained as PCM24 lossless FLAC. No EQ, envelope or gain changes in retained source.",verified_cc0
organic_fire_source_breath,assets/audio-organic-fire/sources/breathing-tired.wav,https://opengameart.org/content/breathing-tired,mikeask,CC0 1.0,assets/audio-organic-fire/sources.json,Original downloaded file retained byte-identical.,verified_cc0
organic_fire_source_ghost_breath,assets/audio-organic-fire/sources/ghostbreath.flac,https://opengameart.org/content/ghost-breath,qubodup,CC0 1.0,assets/audio-organic-fire/sources.json,Original downloaded file retained byte-identical.,verified_cc0
organic_fire_source_ignition,assets/audio-organic-fire/sources/ignition.flac,https://opengameart.org/content/flare-ignition,qubodup,CC0 1.0,assets/audio-organic-fire/sources.json,Original downloaded file retained byte-identical.,verified_cc0
s_casterignite,assets/audio-organic-fire/S_CasterIgnite.wav,https://opengameart.org/content/breathing-tired; https://opengameart.org/content/flare-ignition; https://opengameart.org/content/ghost-breath,mikeask; qubodup; Game Studio audio editing,CC0 1.0 sources; project-authored edit,assets/audio-organic-fire/audio-report.json,Recorded breath/combustion editing: explicit excerpts; resampling; EQ; envelopes; layering; level/peak control; PCM16 48 kHz mono. Short inward breath opens into a muffled ignition inside the chest.,verified_cc0
s_casterfurnaceloop,assets/audio-organic-fire/S_CasterFurnaceLoop.wav,https://opengameart.org/content/fire-staff-sound-effects; https://opengameart.org/content/ghost-breath,LEGIT Audio; qubodup; Game Studio audio editing,CC0 1.0 sources; project-authored edit,assets/audio-organic-fire/audio-report.json,Recorded breath/combustion editing: explicit excerpts; resampling; EQ; envelopes; layering; level/peak control; PCM16 48 kHz mono. Irregular body breath under turbulent combustion; no pitch oscillator or bell.,verified_cc0
s_casterreleasea,assets/audio-organic-fire/S_CasterReleaseA.wav,https://opengameart.org/content/breathing-tired; https://opengameart.org/content/fire-staff-sound-effects; https://opengameart.org/content/flare-ignition,LEGIT Audio; mikeask; qubodup; Game Studio audio editing,CC0 1.0 sources; project-authored edit,assets/audio-organic-fire/audio-report.json,Recorded breath/combustion editing: explicit excerpts; resampling; EQ; envelopes; layering; level/peak control; PCM16 48 kHz mono. A bodily expulsion with a leading fire pressure pulse and a broken flame tail.,verified_cc0
