frame,wall_seconds,audio_seconds,shield_expansion,selected,full_charge,charge_audio,speed_cm_s,stamina,sprinting,dashing,x,y,z
0,0.000308,0.000000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,110.000
1,0.118773,0.106667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
2,0.226347,0.213333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
3,0.328514,0.320000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
4,0.429281,0.426667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
5,0.529882,0.533333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
6,0.630819,0.618667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
7,0.732033,0.725333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
8,0.837051,0.832000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
9,0.938573,0.938667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
10,1.039578,1.024000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
11,1.141210,1.130667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
12,1.243039,1.237333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
13,1.344892,1.322667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
14,1.447690,1.450667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
15,1.553620,1.536000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
16,1.655810,1.642667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
17,1.757861,1.749333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
18,1.860367,1.856000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
19,1.964607,1.962667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
20,2.071246,2.069333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
21,2.180063,2.176000,0.325,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
22,2.286660,2.282667,0.657,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
23,2.391566,2.389333,0.982,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
24,2.496776,2.496000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
25,2.601082,2.602667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
26,2.705708,2.688000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
27,2.812808,2.794667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
28,2.917898,2.922667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
29,3.024251,3.008000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
30,3.132728,3.114667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
31,3.242840,3.242667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
32,3.352824,3.349333,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
33,3.459855,3.456000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
34,3.566551,3.562667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
35,3.674119,3.669333,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
36,3.781852,3.776000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
37,3.891010,3.882667,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
38,3.997995,3.989333,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
39,4.111248,4.096000,1.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
40,4.224132,4.202667,0.502,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
41,4.339871,4.330667,0.005,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
42,4.454042,4.437333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
43,4.567035,4.565333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
44,4.683469,4.672000,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
45,4.795841,4.778667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
46,4.910518,4.906667,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
47,5.023918,5.013333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
48,5.139740,5.141333,0.000,0,0,0,0.000,100.000,0,0,-1000.000,-500.000,94.150
49,5.255352,5.248000,0.000,1,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
50,5.370790,5.354667,0.000,1,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
51,5.486830,5.482667,0.000,1,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
52,5.604106,5.589333,0.000,2,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
53,5.720850,5.717333,0.000,2,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
54,5.839568,5.824000,0.000,2,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
55,5.960072,5.952000,0.000,0,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
56,6.078070,6.080000,0.000,0,0,1,0.000,100.000,0,0,-1000.000,-500.000,94.150
