frame,wall_seconds,audio_seconds
0,0.000364,0.000000
1,0.100805,0.106667
2,0.192589,0.192000
3,0.277911,0.277333
4,0.365307,0.362667
5,0.453440,0.469333
6,0.543463,0.554667
7,0.629896,0.640000
8,0.716416,0.725333
9,0.800316,0.789333
10,0.889721,0.896000
11,0.974460,0.981333
12,1.062613,1.066667
13,1.146036,1.152000
14,1.233047,1.237333
15,1.316985,1.322667
16,1.402041,1.408000
17,1.485735,1.493333
18,1.573131,1.578667
19,1.657559,1.664000
20,1.744999,1.749333
21,1.828799,1.834667
22,1.914430,1.920000
23,1.999113,2.005333
24,2.088657,2.090667
25,2.172960,2.176000
26,2.261459,2.261333
27,2.346767,2.346667
28,2.433513,2.432000
29,2.519111,2.517333
30,2.608119,2.602667
31,2.693972,2.709333
32,2.781032,2.773333
33,2.865339,2.880000
34,2.953558,2.965333
35,3.038539,3.050667
36,3.129775,3.136000
37,3.216543,3.221333
38,3.303217,3.306667
39,3.390219,3.392000
40,3.480670,3.477333
41,3.571372,3.562667
42,3.660655,3.669333
43,3.749843,3.754667
44,3.840475,3.840000
45,3.931360,3.925333
46,4.024503,4.032000
47,4.114890,4.117333
48,4.203470,4.202667
49,4.290765,4.288000
50,4.383591,4.394667
51,4.472923,4.480000
52,4.561502,4.565333
53,4.649152,4.650667
54,4.737177,4.736000
55,4.826100,4.821333
56,4.916781,4.928000
57,5.006557,5.013333
58,5.093896,5.098667
59,5.185747,5.184000
60,5.280311,5.269333
61,5.372890,5.376000
62,5.468138,5.461333
63,5.559224,5.568000
64,5.653897,5.653333
65,5.747417,5.760000
66,5.841926,5.845333
67,5.932434,5.930667
68,6.027314,6.037333
69,6.120767,6.122667
70,6.214496,6.229333
71,6.304882,6.314667
72,6.399043,6.400000
73,6.491625,6.485333
74,6.589961,6.592000
75,6.679209,6.677333
76,6.776040,6.784000
77,6.869051,6.869333
78,6.965081,6.976000
79,7.056832,7.061333
80,7.146721,7.146667
81,7.241033,7.232000
82,7.334508,7.338667
83,7.427899,7.424000
84,7.522283,7.509333
85,7.611863,7.616000
86,7.711348,7.701333
87,7.801659,7.808000
88,7.896027,7.893333
89,7.991491,8.000000
90,8.083413,8.085333
91,8.176251,8.170667
92,8.268492,8.277333
93,8.362805,8.362667
94,8.461200,8.469333
95,8.559648,8.554667
96,8.662009,8.661333
97,8.759543,8.768000
98,8.857372,8.853333
99,8.949128,8.960000
100,9.047594,9.045333
101,9.147513,9.152000
102,9.242342,9.258667
103,9.332713,9.344000
104,9.429253,9.429333
105,9.522808,9.536000
106,9.613623,9.621333
107,9.708989,9.706667
108,9.800458,9.792000
109,9.900456,9.898667
110,10.000528,10.005333
111,10.094772,10.090667
112,10.193367,10.197333
113,10.286264,10.282667
114,10.382441,10.389333
115,10.479941,10.474667
116,10.576680,10.581333
117,10.670654,10.666667
118,10.762065,10.752000
119,10.854649,10.858667
120,10.948966,10.944000
121,11.041265,11.029333
122,11.134303,11.136000
123,11.225241,11.221333
124,11.320629,11.328000
125,11.412223,11.413333
126,11.508140,11.520000
127,11.601336,11.605333
128,11.695802,11.690667
129,11.786472,11.797333
130,11.883736,11.882667
131,11.974069,11.989333
132,12.069305,12.074667
133,12.158534,12.160000
134,12.254766,12.266667
135,12.348965,12.352000
136,12.443717,12.458667
137,12.534230,12.544000
138,12.628510,12.629333
139,12.720320,12.714667
140,12.816492,12.821333
141,12.907094,12.906667
142,13.002267,13.013333
143,13.093159,13.098667
144,13.187207,13.184000
145,13.284216,13.290667
146,13.375666,13.376000
147,13.467050,13.461333
148,13.560956,13.568000
149,13.654838,13.653333
150,13.748338,13.760000
151,13.841920,13.845333
152,13.935680,13.930667
153,14.029623,14.037333
154,14.124149,14.122667
155,14.215754,14.229333
156,14.310267,14.314667
157,14.400426,14.400000
158,14.497279,14.506667
159,14.585498,14.592000
160,14.681719,14.677333
161,14.774077,14.784000
162,14.869773,14.869333
163,14.961501,14.954667
164,15.055571,15.061333
165,15.146429,15.146667
166,15.241952,15.232000
167,15.334480,15.338667
168,15.427014,15.424000
169,15.527117,15.530667
170,15.620169,15.616000
171,15.710013,15.701333
172,15.802279,15.808000
173,15.894760,15.893333
174,15.989328,16.000000
175,16.078842,16.085333
176,16.172358,16.170667
177,16.264524,16.277333
178,16.358694,16.362667
179,16.455717,16.469333
180,16.546455,16.554667
181,16.638178,16.640000
182,16.734499,16.746667
183,16.828222,16.832000
184,16.922611,16.938667
185,17.015064,17.024000
186,17.103603,17.109333
187,17.196602,17.194667
188,17.287638,17.280000
189,17.373774,17.386667
190,17.467442,17.472000
191,17.561239,17.557333
192,17.652086,17.642667
193,17.743122,17.749333
194,17.834852,17.834667
195,17.921923,17.920000
196,18.012667,18.026667
197,18.108393,18.112000
198,18.198822,18.197333
199,18.289934,18.282667
200,18.383369,18.389333
201,18.479404,18.474667
202,18.572317,18.560000
203,18.666569,18.666667
204,18.764460,18.773333
205,18.851643,18.858667
206,18.946983,18.944000
207,19.042200,19.029333
208,19.134142,19.136000
209,19.226667,19.221333
210,19.319220,19.328000
