asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
rework_magnet_loop,assets/audio/rework/magnet_loop.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_magnet_on,assets/audio/rework/magnet_on.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_magnet_off,assets/audio/rework/magnet_off.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_pickup_metal1,assets/audio/rework/pickup_metal1.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_pickup_metal2,assets/audio/rework/pickup_metal2.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_pickup_metal3,assets/audio/rework/pickup_metal3.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_pickup_heavy,assets/audio/rework/pickup_heavy.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_rare_find,assets/audio/rework/rare_find.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_vent,assets/audio/rework/vent.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_warning_loop,assets/audio/rework/warning_loop.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_overload,assets/audio/rework/overload.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_smelt,assets/audio/rework/smelt.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_payout,assets/audio/rework/payout.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_upgrade,assets/audio/rework/upgrade.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_contract_success,assets/audio/rework/contract_success.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_contract_fail,assets/audio/rework/contract_fail.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_ui_click,assets/audio/rework/ui_click.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_furnace_loop,assets/audio/rework/furnace_loop.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
rework_workshop_music,assets/audio/rework/workshop_music.wav,original: scripts/GenerateReworkAudio.py,Game Studio / Codex,Original project asset; no third-party samples/composition; project distribution license unset,assets/audio/rework/PROVENANCE.md,Original synthesis/arrangement; stereo room; spectral shaping; level control; dither; PCM16 export,original-project
